shift,end_timestamp,living,arose_this_shift,ended_this_shift,replicated_this_shift,links_formed,classified,anomalous,unresolved,resource_flow,phase,model,duration_seconds,estimated_cost_usd,cumulative_cost_usd,new_categories
26,2026-08-17T13:40:57Z,,,,,,4,0,0,0.9031,claude,claude-haiku-4-5,29.4,0.015643,0.406177,
27,2026-08-17T13:41:26Z,,,,,,4,0,0,0.95,claude,claude-haiku-4-5,26.5,0.015264,0.421441,
28,2026-08-17T13:42:30Z,,,,,,4,0,0,0.9031,claude,claude-haiku-4-5,39.4,0.023851,0.445292,
29,2026-08-17T13:54:14Z,,,,,,4,0,0,0.775,claude,claude-haiku-4-5,25.7,0.014204,0.459496,
30,2026-08-17T13:54:45Z,,,,,,4,0,0,0.6,claude,claude-haiku-4-5,27.6,0.015246,0.474742,
31,2026-08-17T13:55:13Z,,,,,,3,0,1,0.425,claude,claude-haiku-4-5,25.3,0.014888,0.48963,
32,2026-08-17T13:55:40Z,,,,,,4,0,0,0.2969,claude,claude-haiku-4-5,24.2,0.01469,0.50432,
33,2026-08-17T13:56:13Z,,,,,,4,0,0,0.25,claude,claude-haiku-4-5,29.6,0.014412,0.518732,
34,2026-08-17T13:56:43Z,,,,,,4,0,0,0.2969,claude,claude-haiku-4-5,26.8,0.014631,0.533363,
35,2026-08-17T13:57:22Z,,,,,,4,0,0,0.425,claude,claude-haiku-4-5,36.0,0.023191,0.556554,
36,2026-08-17T13:57:50Z,,,,,,4,0,0,0.6,claude,claude-haiku-4-5,25.2,0.015092,0.571646,
37,2026-08-17T13:58:23Z,,,,,,4,0,0,0.775,claude,claude-haiku-4-5,30.2,0.015305,0.586951,
38,2026-08-17T13:58:57Z,,,,,,4,0,0,0.9031,claude,claude-haiku-4-5,30.5,0.01519,0.602141,
39,2026-08-17T13:59:30Z,,,,,,4,0,0,0.95,claude,claude-haiku-4-5,30.0,0.015915,0.618056,
40,2026-08-17T14:00:02Z,,,,,,4,0,0,0.9031,claude,claude-haiku-4-5,29.2,0.01535,0.633406,
41,2026-08-17T14:00:37Z,,,,,,4,0,0,0.775,claude,claude-haiku-4-5,31.4,0.015531,0.648937,
42,2026-08-17T14:01:23Z,,,,,,3,0,1,0.6,claude,claude-haiku-4-5,43.1,0.024222,0.673159,
43,2026-08-17T14:01:56Z,,,,,,4,0,0,0.425,claude,claude-haiku-4-5,30.3,0.01432,0.687479,
44,2026-08-17T14:02:28Z,,,,,,4,0,0,0.2969,claude,claude-haiku-4-5,28.9,0.014384,0.701863,
45,2026-08-17T14:02:58Z,,,,,,4,0,0,0.25,claude,claude-haiku-4-5,26.3,0.014502,0.716365,
46,2026-08-17T14:03:28Z,,,,,,4,0,0,0.2969,claude,claude-haiku-4-5,27.1,0.014643,0.731008,
47,2026-08-17T14:03:57Z,,,,,,3,0,1,0.425,claude,claude-haiku-4-5,26.4,0.014867,0.745875,
48,2026-08-17T14:04:30Z,,,,,,4,0,0,0.6,claude,claude-haiku-4-5,29.4,0.015067,0.760942,
49,2026-08-17T15:00:23Z,0,0,0,0,0,0,0,0,0.775,claude,claude-haiku-4-5,16.5,0.010405,0.771347,
50,2026-08-17T15:00:45Z,0,0,0,0,0,0,0,0,0.9031,claude,claude-haiku-4-5,5.3,0.001541,0.772888,
51,2026-08-17T15:01:10Z,1,1,0,0,0,1,0,0,0.95,claude,claude-haiku-4-5,24.3,0.014062,0.78695,
52,2026-08-17T15:01:38Z,2,0,0,1,0,2,0,0,0.9031,claude,claude-haiku-4-5,26.2,0.015682,0.802632,
53,2026-08-17T15:01:58Z,2,0,0,0,0,2,0,0,0.775,claude,claude-haiku-4-5,19.2,0.012905,0.815537,
54,2026-08-17T15:02:19Z,2,0,0,0,1,2,0,0,0.6,claude,claude-haiku-4-5,20.3,0.012977,0.828514,
55,2026-08-17T15:02:38Z,1,0,1,0,0,1,0,0,0.425,claude,claude-haiku-4-5,17.1,0.012203,0.840717,
56,2026-08-17T15:03:57Z,1,0,0,0,0,1,0,0,0.2969,claude,claude-haiku-4-5,35.6,0.021712,0.862429,
57,2026-08-17T15:04:19Z,1,0,0,0,0,1,0,0,0.25,claude,claude-haiku-4-5,21.1,0.012835,0.875264,
58,2026-08-17T15:04:45Z,2,1,0,0,0,2,0,0,0.2969,claude,claude-haiku-4-5,24.7,0.013989,0.889253,
59,2026-08-17T15:08:39Z,3,0,0,1,0,1,0,2,0.425,claude,claude-haiku-4-5,25.5,0.014925,0.904178,
60,2026-08-17T15:09:03Z,4,1,0,0,0,4,0,0,0.6,claude,claude-haiku-4-5,21.8,0.015259,0.919437,
61,2026-08-17T15:09:24Z,4,0,0,0,1,4,0,0,0.775,claude,claude-haiku-4-5,18.9,0.013705,0.933142,
62,2026-08-17T15:09:58Z,8,3,0,1,1,4,0,1,0.9031,claude,claude-haiku-4-5,32.5,0.020408,0.95355,
63,2026-08-17T15:10:41Z,11,2,0,1,0,4,0,1,0.95,claude,claude-haiku-4-5,40.4,0.029612,0.983162,
64,2026-08-17T15:11:15Z,13,2,0,0,2,3,0,2,0.9031,claude,claude-haiku-4-5,31.1,0.01828,1.001442,
65,2026-08-17T15:11:44Z,14,1,0,0,2,4,0,1,0.775,claude,claude-haiku-4-5,26.6,0.015924,1.017366,
66,2026-08-17T15:12:05Z,14,0,0,0,4,3,0,2,0.6,claude,claude-haiku-4-5,19.2,0.014067,1.031433,
67,2026-08-17T15:12:26Z,14,0,0,0,4,3,0,2,0.425,claude,claude-haiku-4-5,17.9,0.014165,1.045598,
68,2026-08-17T15:12:47Z,13,0,1,0,0,3,0,2,0.2969,claude,claude-haiku-4-5,19.4,0.014102,1.0597,
69,2026-08-17T15:13:09Z,13,0,1,1,0,3,0,2,0.25,claude,claude-haiku-4-5,19.8,0.015132,1.074832,
70,2026-08-17T15:13:44Z,13,0,2,2,0,4,0,1,0.2969,claude,claude-haiku-4-5,33.0,0.025816,1.100648,
71,2026-08-17T15:14:05Z,10,0,3,0,1,4,0,1,0.425,claude,claude-haiku-4-5,18.7,0.014092,1.11474,
72,2026-08-17T15:14:30Z,10,0,0,0,4,4,0,1,0.6,claude,claude-haiku-4-5,21.8,0.014203,1.128943,
73,2026-08-17T15:14:51Z,10,0,0,0,4,3,0,2,0.775,claude,claude-haiku-4-5,18.9,0.014223,1.143166,
74,2026-08-17T15:15:25Z,14,4,0,0,0,4,0,1,0.9031,claude,claude-haiku-4-5,31.9,0.020569,1.163735,
75,2026-08-17T15:16:00Z,17,2,0,1,0,3,0,2,0.95,claude,claude-haiku-4-5,33.0,0.019942,1.183677,
76,2026-08-17T15:16:36Z,19,2,1,1,6,3,0,2,0.9031,claude,claude-haiku-4-5,33.1,0.020245,1.203922,
77,2026-08-17T15:17:26Z,20,3,2,0,3,3,0,2,0.775,claude,claude-haiku-4-5,47.9,0.02787,1.231792,
78,2026-08-17T15:17:54Z,22,1,0,1,4,4,0,1,0.6,claude,claude-haiku-4-5,25.8,0.017667,1.249459,
79,2026-08-17T15:18:18Z,20,0,3,1,20,3,0,2,0.425,claude,claude-haiku-4-5,22.6,0.015723,1.265182,
80,2026-08-17T15:18:42Z,20,0,0,0,9,3,0,2,0.2969,claude,claude-haiku-4-5,21.0,0.014064,1.279246,
81,2026-08-17T15:19:03Z,9,0,11,0,7,3,0,2,0.25,claude,claude-haiku-4-5,19.2,0.013997,1.293243,
82,2026-08-17T15:19:27Z,7,0,2,0,2,3,0,2,0.2969,claude,claude-haiku-4-5,21.5,0.014041,1.307284,
83,2026-08-17T15:20:01Z,4,0,3,0,0,3,0,1,0.425,claude,claude-haiku-4-5,32.3,0.013978,1.321262,
84,2026-08-17T16:29:27Z,6,2,0,0,0,3,0,2,0.6,claude,claude-haiku-4-5,40.8,0.026703,1.347965,
85,2026-08-17T16:30:10Z,11,3,0,2,0,3,0,2,0.775,claude,claude-haiku-4-5,35.3,0.020003,1.367968,
86,2026-08-17T16:30:41Z,18,1,0,6,1,3,0,2,0.9031,claude,claude-haiku-4-5,29.0,0.020992,1.38896,
87,2026-08-17T16:31:18Z,22,3,0,1,2,4,0,1,0.95,claude,claude-haiku-4-5,35.3,0.02098,1.40994,
88,2026-08-17T16:31:51Z,24,3,4,3,6,4,0,1,0.9031,claude,claude-haiku-4-5,32.5,0.019153,1.429093,
89,2026-08-17T16:32:18Z,19,1,7,1,2,3,0,2,0.775,claude,claude-haiku-4-5,25.8,0.018011,1.447104,
90,2026-08-17T16:32:38Z,20,0,0,1,5,3,0,2,0.6,claude,claude-haiku-4-5,19.0,0.016137,1.463241,
91,2026-08-17T16:33:16Z,15,1,6,0,2,3,0,2,0.425,claude,claude-haiku-4-5,35.9,0.024799,1.48804,
92,2026-08-17T16:33:43Z,17,1,0,1,0,3,0,2,0.2969,claude,claude-haiku-4-5,26.0,0.016696,1.504736,
93,2026-08-17T16:34:11Z,19,1,0,1,2,4,0,1,0.25,claude,claude-haiku-4-5,26.3,0.016451,1.521187,
94,2026-08-17T16:34:35Z,17,0,3,1,2,3,0,2,0.2969,claude,claude-haiku-4-5,21.8,0.015363,1.53655,
95,2026-08-17T16:34:54Z,17,0,0,0,1,3,0,2,0.425,claude,claude-haiku-4-5,18.0,0.014143,1.550693,
96,2026-08-17T19:09:47Z,15,2,4,0,2,4,0,1,0.6,claude,claude-haiku-4-5,29.4,0.014481,1.565174,ephemeral_fragment
97,2026-08-17T19:10:25Z,15,1,2,1,0,3,0,2,0.775,claude,claude-haiku-4-5,27.7,0.01579,1.580964,nascent_structural
98,2026-08-17T19:11:04Z,16,1,2,2,1,4,0,1,0.9031,claude,claude-haiku-4-5,36.2,0.024286,1.60525,
99,2026-08-17T19:11:38Z,21,4,1,2,2,4,0,1,0.95,claude,claude-haiku-4-5,32.4,0.019491,1.624741,descended_structural
100,2026-08-17T19:12:09Z,28,3,0,4,1,4,0,1,0.9031,claude,claude-haiku-4-5,28.5,0.019399,1.64414,
101,2026-08-17T19:12:37Z,28,0,1,1,3,5,0,0,0.775,claude,claude-haiku-4-5,25.5,0.015382,1.659522,active_accumulator
102,2026-08-17T19:13:02Z,27,0,1,0,7,4,0,1,0.6,claude,claude-haiku-4-5,22.0,0.012887,1.672409,
103,2026-08-17T19:13:23Z,24,0,3,0,2,4,0,1,0.425,claude,claude-haiku-4-5,18.2,0.012831,1.68524,
104,2026-08-17T19:13:48Z,18,0,7,1,1,4,0,1,0.2969,claude,claude-haiku-4-5,22.8,0.013839,1.699079,ephemeral_fragment
105,2026-08-17T19:14:24Z,15,0,3,0,1,5,0,0,0.25,claude,claude-haiku-4-5,33.2,0.019893,1.718972,structural_inheritor
106,2026-08-17T19:14:51Z,11,0,5,1,3,3,0,2,0.2969,claude,claude-haiku-4-5,24.2,0.014424,1.733396,emergent_fragment
107,2026-08-17T19:15:16Z,12,0,0,1,1,3,0,2,0.425,claude,claude-haiku-4-5,22.2,0.014716,1.748112,emergent_inheritor
108,2026-08-17T19:15:44Z,13,0,0,1,0,3,0,2,0.6,claude,claude-haiku-4-5,25.1,0.015028,1.76314,emergent_ephemeral
109,2026-08-17T19:18:22Z,14,1,0,0,1,4,0,1,0.775,claude,claude-haiku-4-5,35.8,0.014837,1.777977,emergent_incipient
110,2026-08-17T19:19:31Z,15,2,1,0,1,5,0,0,0.9031,claude,claude-haiku-4-5,39.0,0.025566,1.803543,emergent_neonate emergent_minimal
111,2026-08-17T19:20:48Z,22,6,0,1,2,5,0,0,0.95,claude,claude-haiku-4-5,56.7,0.031759,1.835302,emergent_mid_structural
112,2026-08-17T19:22:00Z,27,2,1,4,2,5,0,0,0.9031,claude,claude-haiku-4-5,69.3,0.042354,1.877656,descendant_incipient descendant_mid_structural descendant_minimal
113,2026-08-17T19:22:51Z,27,0,2,2,2,5,0,0,0.775,claude,claude-haiku-4-5,48.7,0.030988,1.908644,fragment_incipient_mobile fragment_descendant_incipient
114,2026-08-17T19:23:35Z,27,0,2,2,5,5,0,0,0.6,claude,claude-haiku-4-5,41.5,0.032084,1.940728,
115,2026-08-17T19:24:26Z,23,0,4,0,3,5,0,0,0.425,claude,claude-haiku-4-5,48.0,0.028384,1.969112,
116,2026-08-17T19:25:13Z,16,0,7,0,0,5,0,0,0.2969,claude,claude-haiku-4-5,44.8,0.028337,1.997449,
117,2026-08-17T19:26:00Z,13,0,4,1,0,5,0,0,0.25,claude,claude-haiku-4-5,44.1,0.029304,2.026753,
118,2026-08-17T19:26:48Z,13,0,1,1,1,5,1,0,0.2969,claude,claude-haiku-4-5,44.9,0.029309,2.056062,emergent_proximal_heavyweight
119,2026-08-17T19:27:43Z,12,0,1,0,1,5,0,0,0.425,claude,claude-haiku-4-5,53.0,0.037873,2.093935,emergent_residue_hybrid
120,2026-08-17T19:28:34Z,13,0,0,1,2,5,0,0,0.6,claude,claude-haiku-4-5,48.5,0.029575,2.12351,emergent_descendant_minimal
121,2026-08-17T20:29:10Z,16,0,1,4,0,5,0,0,0.775,claude,claude-haiku-4-5,50.3,0.034686,2.158196,emergent_descendant_incipient emergent_descendant_ultra_compact
122,2026-08-17T20:30:06Z,18,2,1,1,1,5,0,0,0.9031,claude,claude-haiku-4-5,53.2,0.03505,2.193246,emergent_descendant_compact emergent_neonate_moderate
123,2026-08-17T20:31:05Z,19,2,1,0,4,5,0,0,0.95,claude,claude-haiku-4-5,57.1,0.032999,2.226245,emergent_mid_compact emergent_descendant_moderate
124,2026-08-17T20:31:57Z,20,2,4,3,2,5,0,0,0.9031,claude,claude-haiku-4-5,48.8,0.03545,2.261695,emergent_descendant_mid emergent_descendant_compact emergent_neonate_compact
125,2026-08-17T20:33:00Z,22,2,2,2,0,5,0,0,0.775,claude,claude-haiku-4-5,61.0,0.03473,2.296425,emergent_descendant_neonate
126,2026-08-17T20:33:59Z,21,0,2,1,5,5,0,0,0.6,claude,claude-haiku-4-5,54.9,0.041192,2.337617,emergent_descendant_neonate_variant
