shift,end_timestamp,living,arose_this_shift,ended_this_shift,replicated_this_shift,links_formed,classified,anomalous,unresolved,resource_flow,phase,model,duration_seconds,estimated_cost_usd,cumulative_cost_usd,new_categories
20,2026-08-17T22:20:46Z,38,0,7,2,3,5,0,0,0.2969,claude,claude-haiku-4-5,36.5,0.027176,0.389741,
21,2026-08-17T22:21:38Z,33,2,7,0,8,5,0,0,0.25,claude,claude-haiku-4-5,51.1,0.039445,0.429186,
22,2026-08-17T22:22:30Z,29,2,7,1,3,5,0,0,0.2969,claude,claude-haiku-4-5,51.2,0.02973,0.458916,
23,2026-08-17T22:23:16Z,36,10,4,1,0,5,0,0,0.425,claude,claude-haiku-4-5,44.7,0.031869,0.490785,
24,2026-08-17T22:24:09Z,58,14,2,10,4,5,0,0,0.6,claude,claude-haiku-4-5,52.3,0.031656,0.522441,
25,2026-08-17T22:25:05Z,80,14,0,8,1,5,0,0,0.775,claude,claude-haiku-4-5,55.0,0.032058,0.554499,
26,2026-08-17T22:26:01Z,96,17,8,7,9,5,0,0,0.9031,claude,claude-haiku-4-5,55.1,0.033833,0.588332,
27,2026-08-17T22:27:02Z,121,25,8,8,13,5,0,0,0.95,claude,claude-haiku-4-5,59.7,0.034747,0.623079,
28,2026-08-17T22:28:04Z,145,23,14,15,17,5,0,0,0.9031,claude,claude-haiku-4-5,61.0,0.044574,0.667653,
29,2026-08-17T22:29:09Z,162,21,17,13,22,5,0,0,0.775,claude,claude-haiku-4-5,64.1,0.033867,0.70152,
30,2026-08-17T22:30:31Z,144,9,35,8,29,5,0,0,0.6,claude,claude-haiku-4-5,81.1,0.032329,0.733849,
31,2026-08-17T22:31:50Z,123,6,33,6,34,5,0,0,0.425,claude,claude-haiku-4-5,77.6,0.032001,0.76585,
32,2026-08-17T22:33:10Z,99,1,32,7,12,5,0,0,0.2969,claude,claude-haiku-4-5,79.3,0.031454,0.797304,
33,2026-08-17T22:34:17Z,82,3,24,4,17,5,0,0,0.25,claude,claude-haiku-4-5,65.8,0.031215,0.828519,
34,2026-08-17T22:35:24Z,80,4,10,4,10,5,0,0,0.2969,claude,claude-haiku-4-5,66.5,0.030999,0.859518,
35,2026-08-17T22:36:57Z,85,8,7,4,11,5,0,0,0.425,claude,claude-haiku-4-5,91.6,0.041553,0.901071,
36,2026-08-17T22:38:01Z,116,30,10,11,12,5,0,0,0.6,claude,claude-haiku-4-5,62.6,0.032957,0.934028,
37,2026-08-17T22:39:24Z,154,28,7,17,7,5,0,0,0.775,claude,claude-haiku-4-5,58.6,0.033933,0.967961,
38,2026-08-17T22:40:10Z,202,31,10,27,23,5,0,0,0.9031,claude,claude-haiku-4-5,45.2,0.033956,1.001917,
39,2026-08-17T22:40:58Z,248,41,15,20,28,5,0,0,0.95,claude,claude-haiku-4-5,47.0,0.033281,1.035198,
40,2026-08-17T22:41:46Z,239,33,56,14,34,5,0,0,0.9031,claude,claude-haiku-4-5,46.7,0.033198,1.068396,
41,2026-08-17T22:42:44Z,248,25,38,22,52,5,0,0,0.775,claude,claude-haiku-4-5,56.7,0.030811,1.099207,
42,2026-08-17T22:43:39Z,241,16,43,20,46,5,0,0,0.6,claude,claude-haiku-4-5,54.3,0.043396,1.142603,
43,2026-08-17T22:44:31Z,208,10,58,15,36,5,0,0,0.425,claude,claude-haiku-4-5,50.2,0.031863,1.174466,
44,2026-08-17T22:45:15Z,181,8,41,6,24,5,0,0,0.2969,claude,claude-haiku-4-5,43.5,0.031282,1.205748,
45,2026-08-17T23:14:36Z,151,3,42,9,32,5,0,0,0.25,claude,claude-haiku-4-5,47.6,0.031411,1.237159,
46,2026-08-17T23:15:24Z,144,6,20,7,14,5,0,0,0.2969,claude,claude-haiku-4-5,44.9,0.031483,1.268642,
47,2026-08-17T23:16:14Z,141,6,17,8,22,5,0,0,0.425,claude,claude-haiku-4-5,46.7,0.032355,1.300997,
48,2026-08-17T23:17:11Z,157,22,15,9,21,5,0,0,0.6,claude,claude-haiku-4-5,54.6,0.032727,1.333724,
49,2026-08-17T23:18:22Z,191,36,15,13,19,5,0,0,0.775,claude,claude-haiku-4-5,67.9,0.043575,1.377299,
50,2026-08-17T23:19:16Z,241,49,28,29,20,5,0,0,0.9031,claude,claude-haiku-4-5,52.1,0.030269,1.407568,
51,2026-08-17T23:20:13Z,298,40,14,31,26,5,0,0,0.95,claude,claude-haiku-4-5,53.9,0.033598,1.441166,
52,2026-08-17T23:21:00Z,321,45,41,19,48,5,0,0,0.9031,claude,claude-haiku-4-5,44.6,0.030193,1.471359,
53,2026-08-17T23:22:02Z,293,25,70,17,51,5,0,0,0.775,claude,claude-haiku-4-5,59.2,0.03326,1.504619,
54,2026-08-17T23:22:50Z,281,19,50,19,46,5,0,0,0.6,claude,claude-haiku-4-5,45.4,0.032577,1.537196,
55,2026-08-17T23:23:36Z,256,7,50,18,47,5,0,0,0.425,claude,claude-haiku-4-5,42.5,0.032465,1.569661,
56,2026-08-17T23:24:41Z,203,2,58,3,38,5,0,0,0.2969,claude,claude-haiku-4-5,62.5,0.042576,1.612237,
57,2026-08-17T23:25:22Z,163,0,41,1,34,5,0,0,0.25,claude,claude-haiku-4-5,38.0,0.029493,1.64173,
58,2026-08-17T23:26:14Z,141,0,27,5,15,5,0,0,0.2969,claude,claude-haiku-4-5,47.9,0.031169,1.672899,
59,2026-08-17T23:27:04Z,149,12,11,7,12,5,0,0,0.425,claude,claude-haiku-4-5,47.0,0.032478,1.705377,
60,2026-08-17T23:27:54Z,178,30,11,10,14,5,0,0,0.6,claude,claude-haiku-4-5,47.2,0.031873,1.73725,
61,2026-08-17T23:28:50Z,227,38,14,25,9,5,0,0,0.775,claude,claude-haiku-4-5,52.8,0.030934,1.768184,
62,2026-08-17T23:29:46Z,283,44,13,25,20,5,0,0,0.9031,claude,claude-haiku-4-5,52.6,0.030878,1.799062,
63,2026-08-17T23:30:53Z,330,39,25,33,43,5,0,0,0.95,claude,claude-haiku-4-5,64.5,0.040189,1.839251,
64,2026-08-17T23:31:42Z,357,39,37,25,43,5,0,0,0.9031,claude,claude-haiku-4-5,46.0,0.031602,1.870853,
65,2026-08-17T23:32:42Z,326,24,70,15,60,5,0,0,0.775,claude,claude-haiku-4-5,56.3,0.030929,1.901782,
66,2026-08-17T23:33:33Z,300,13,57,18,66,5,0,0,0.6,claude,claude-haiku-4-5,47.5,0.032639,1.934421,
67,2026-08-17T23:34:18Z,263,10,58,11,36,5,0,0,0.425,claude,claude-haiku-4-5,41.6,0.032149,1.96657,
68,2026-08-17T23:35:10Z,231,3,43,8,33,5,0,0,0.2969,claude,claude-haiku-4-5,48.7,0.031714,1.998284,
69,2026-08-17T23:36:07Z,186,1,51,5,26,5,0,0,0.25,claude,claude-haiku-4-5,54.0,0.03165,2.029934,
70,2026-08-17T23:46:13Z,156,5,39,4,18,5,0,0,0.2969,claude,claude-haiku-4-5,53.4,0.041216,2.07115,mobile_opportunist
71,2026-08-17T23:47:05Z,147,5,22,8,21,5,0,0,0.425,claude,claude-haiku-4-5,49.0,0.032494,2.103644,
72,2026-08-17T23:47:53Z,172,30,16,11,17,5,0,0,0.6,claude,claude-haiku-4-5,45.2,0.033165,2.136809,
73,2026-08-17T23:48:42Z,231,42,10,27,9,5,0,0,0.775,claude,claude-haiku-4-5,46.0,0.034272,2.171081,
74,2026-08-17T23:49:45Z,299,46,8,30,22,5,0,0,0.9031,claude,claude-haiku-4-5,58.8,0.033373,2.204454,
75,2026-08-17T23:50:37Z,338,43,34,30,41,5,0,0,0.95,claude,claude-haiku-4-5,48.8,0.031374,2.235828,
76,2026-08-17T23:51:25Z,355,38,44,23,48,5,0,0,0.9031,claude,claude-haiku-4-5,45.4,0.030163,2.265991,
77,2026-08-17T23:52:26Z,323,20,68,16,60,5,0,0,0.775,claude,claude-haiku-4-5,57.5,0.041214,2.307205,
78,2026-08-17T23:53:22Z,308,15,48,18,50,5,0,0,0.6,claude,claude-haiku-4-5,52.5,0.032017,2.339222,
79,2026-08-17T23:54:09Z,263,6,69,18,39,5,0,0,0.425,claude,claude-haiku-4-5,44.3,0.032303,2.371525,
80,2026-08-17T23:54:55Z,215,7,62,7,33,5,0,0,0.2969,claude,claude-haiku-4-5,42.4,0.031596,2.403121,
81,2026-08-17T23:55:37Z,183,2,43,9,27,5,0,0,0.25,claude,claude-haiku-4-5,38.8,0.031352,2.434473,
82,2026-08-17T23:56:32Z,171,9,26,5,17,5,0,0,0.2969,claude,claude-haiku-4-5,52.4,0.031381,2.465854,
83,2026-08-17T23:57:22Z,172,9,18,10,10,5,0,0,0.425,claude,claude-haiku-4-5,46.8,0.032425,2.498279,
84,2026-08-17T23:58:35Z,191,23,16,12,18,5,0,0,0.6,claude,claude-haiku-4-5,70.0,0.043729,2.542008,
85,2026-08-17T23:59:26Z,240,39,12,22,28,5,0,0,0.775,claude,claude-haiku-4-5,48.2,0.033338,2.575346,
86,2026-08-18T00:00:26Z,286,36,19,29,25,5,0,0,0.9031,claude,claude-haiku-4-5,56.1,0.034438,2.609784,
87,2026-08-18T00:01:14Z,339,45,20,28,40,5,0,0,0.95,claude,claude-haiku-4-5,45.8,0.031564,2.641348,
88,2026-08-18T00:02:02Z,336,29,55,23,51,5,0,0,0.9031,claude,claude-haiku-4-5,43.9,0.030087,2.671435,
89,2026-08-18T00:02:55Z,323,24,60,23,51,5,0,0,0.775,claude,claude-haiku-4-5,50.1,0.030973,2.702408,
90,2026-08-18T00:03:54Z,299,14,53,15,51,5,0,0,0.6,claude,claude-haiku-4-5,55.7,0.032453,2.734861,
91,2026-08-18T00:05:01Z,255,6,60,10,41,5,0,0,0.425,claude,claude-haiku-4-5,63.4,0.042856,2.777717,
92,2026-08-18T00:05:50Z,217,3,50,9,36,5,0,0,0.2969,claude,claude-haiku-4-5,46.0,0.031719,2.809436,
93,2026-08-18T00:06:38Z,185,4,39,3,28,5,0,0,0.25,claude,claude-haiku-4-5,45.2,0.031604,2.84104,
94,2026-08-18T00:07:20Z,174,5,22,6,20,5,0,0,0.2969,claude,claude-haiku-4-5,39.5,0.031867,2.872907,
95,2026-08-18T00:08:09Z,167,6,24,11,12,5,0,0,0.425,claude,claude-haiku-4-5,45.5,0.032125,2.905032,
96,2026-08-18T00:09:00Z,196,24,10,15,13,5,0,0,0.6,claude,claude-haiku-4-5,47.3,0.032721,2.937753,
97,2026-08-18T00:09:54Z,239,35,14,22,19,5,0,0,0.775,claude,claude-haiku-4-5,51.5,0.032171,2.969924,
98,2026-08-18T00:10:55Z,289,43,23,30,24,5,0,0,0.9031,claude,claude-haiku-4-5,57.3,0.040494,3.010418,
99,2026-08-18T00:11:54Z,339,45,24,29,33,5,0,0,0.95,claude,claude-haiku-4-5,55.8,0.034338,3.044756,
100,2026-08-18T00:12:52Z,358,31,38,26,49,5,0,0,0.9031,claude,claude-haiku-4-5,47.7,0.030477,3.075233,
101,2026-08-18T00:13:45Z,343,23,56,18,57,5,0,0,0.775,claude,claude-haiku-4-5,49.8,0.032289,3.107522,
102,2026-08-18T00:14:46Z,321,17,54,15,58,5,0,0,0.6,claude,claude-haiku-4-5,57.4,0.032008,3.13953,
103,2026-08-18T00:15:41Z,253,6,82,8,50,5,0,0,0.425,claude,claude-haiku-4-5,51.8,0.032506,3.172036,
104,2026-08-18T00:16:29Z,214,8,52,5,35,5,0,0,0.2969,claude,claude-haiku-4-5,43.9,0.031829,3.203865,
105,2026-08-18T00:17:29Z,183,2,37,4,28,5,0,0,0.25,claude,claude-haiku-4-5,57.0,0.042104,3.245969,
106,2026-08-18T00:18:17Z,157,2,33,5,21,5,0,0,0.2969,claude,claude-haiku-4-5,44.4,0.031667,3.277636,
107,2026-08-18T00:19:05Z,149,8,22,6,10,5,0,0,0.425,claude,claude-haiku-4-5,44.2,0.03262,3.310256,
108,2026-08-18T00:20:03Z,178,29,10,10,13,5,0,0,0.6,claude,claude-haiku-4-5,56.8,0.033077,3.343333,
109,2026-08-18T00:20:54Z,220,37,15,20,13,5,0,0,0.775,claude,claude-haiku-4-5,50.2,0.034531,3.377864,
110,2026-08-18T00:21:42Z,295,48,9,36,18,5,0,0,0.9031,claude,claude-haiku-4-5,46.8,0.032941,3.410805,
111,2026-08-18T00:22:34Z,332,30,17,24,32,5,0,0,0.95,claude,claude-haiku-4-5,50.8,0.032063,3.442868,
112,2026-08-18T00:23:41Z,342,41,49,18,57,5,0,0,0.9031,claude,claude-haiku-4-5,65.8,0.042663,3.485531,
113,2026-08-18T00:24:31Z,328,33,67,20,51,5,0,0,0.775,claude,claude-haiku-4-5,49.0,0.03113,3.516661,
114,2026-08-18T00:25:21Z,296,12,59,15,40,5,0,0,0.6,claude,claude-haiku-4-5,48.8,0.032705,3.549366,
115,2026-08-18T00:26:08Z,260,5,53,12,54,5,0,0,0.425,claude,claude-haiku-4-5,45.9,0.032359,3.581725,
116,2026-08-18T00:26:54Z,212,7,61,6,38,5,0,0,0.2969,claude,claude-haiku-4-5,45.6,0.031235,3.61296,
117,2026-08-18T00:27:48Z,157,1,60,4,31,5,0,0,0.25,claude,claude-haiku-4-5,52.7,0.031074,3.644034,
118,2026-08-18T00:28:31Z,140,5,27,5,13,5,0,0,0.2969,claude,claude-haiku-4-5,42.1,0.031849,3.675883,
119,2026-08-18T00:29:28Z,138,7,21,12,10,5,0,0,0.425,claude,claude-haiku-4-5,55.5,0.042942,3.718825,
120,2026-08-18T00:30:16Z,175,35,8,10,15,5,0,0,0.6,claude,claude-haiku-4-5,47.0,0.033443,3.752268,
121,2026-08-18T00:31:09Z,232,42,13,28,23,5,0,0,0.775,claude,claude-haiku-4-5,51.6,0.033299,3.785567,
122,2026-08-18T00:32:00Z,287,40,13,28,22,5,0,0,0.9031,claude,claude-haiku-4-5,49.9,0.034766,3.820333,
123,2026-08-18T00:32:58Z,331,48,25,21,47,5,0,0,0.95,claude,claude-haiku-4-5,57.0,0.033298,3.853631,
124,2026-08-18T00:33:44Z,347,43,53,26,55,5,0,0,0.9031,claude,claude-haiku-4-5,45.6,0.030278,3.883909,
125,2026-08-18T00:34:38Z,336,27,64,26,52,5,0,0,0.775,claude,claude-haiku-4-5,52.6,0.031036,3.914945,
126,2026-08-18T00:35:43Z,303,14,60,13,51,5,0,0,0.6,claude,claude-haiku-4-5,63.3,0.044093,3.959038,
127,2026-08-18T00:36:37Z,269,10,53,9,49,5,0,0,0.425,claude,claude-haiku-4-5,53.4,0.031895,3.990933,
128,2026-08-18T00:37:28Z,229,10,57,7,39,5,0,0,0.2969,claude,claude-haiku-4-5,50.0,0.031433,4.022366,
129,2026-08-18T00:38:14Z,201,4,39,7,27,5,0,0,0.25,claude,claude-haiku-4-5,44.7,0.031514,4.05388,
130,2026-08-18T00:39:05Z,184,4,28,7,18,5,0,0,0.2969,claude,claude-haiku-4-5,50.0,0.031382,4.085262,
131,2026-08-18T00:39:54Z,173,8,25,6,16,5,0,0,0.425,claude,claude-haiku-4-5,47.3,0.032476,4.117738,
132,2026-08-18T00:40:40Z,184,28,26,9,20,5,0,0,0.6,claude,claude-haiku-4-5,45.1,0.033312,4.15105,
133,2026-08-18T00:41:44Z,220,29,14,21,14,5,0,0,0.775,claude,claude-haiku-4-5,62.9,0.042514,4.193564,
134,2026-08-18T00:42:40Z,269,42,17,24,30,5,0,0,0.9031,claude,claude-haiku-4-5,55.3,0.035018,4.228582,
135,2026-08-18T00:43:30Z,330,50,19,30,38,5,0,0,0.95,claude,claude-haiku-4-5,48.3,0.031762,4.260344,
136,2026-08-18T00:44:14Z,357,39,36,24,46,5,0,0,0.9031,claude,claude-haiku-4-5,43.0,0.0301,4.290444,
137,2026-08-18T00:45:05Z,357,36,55,19,47,5,0,0,0.775,claude,claude-haiku-4-5,50.0,0.03102,4.321464,
138,2026-08-18T00:45:50Z,331,10,62,26,59,5,0,0,0.6,claude,claude-haiku-4-5,44.1,0.033393,4.354857,
139,2026-08-18T00:46:38Z,287,2,56,10,56,5,0,0,0.425,claude,claude-haiku-4-5,46.7,0.032364,4.387221,
140,2026-08-18T03:12:31Z,208,5,86,2,52,5,0,0,0.2969,claude,claude-haiku-4-5,57.2,0.042011,4.429232,
141,2026-08-18T03:27:11Z,171,1,44,6,23,5,0,0,0.25,claude,claude-haiku-4-5,45.4,0.031772,4.461004,
142,2026-08-18T03:28:03Z,155,6,27,5,10,5,0,0,0.2969,claude,claude-haiku-4-5,51.0,0.03155,4.492554,
143,2026-08-18T03:28:49Z,158,8,18,13,17,5,0,0,0.425,claude,claude-haiku-4-5,44.8,0.032219,4.524773,
144,2026-08-18T03:29:37Z,180,24,16,14,17,5,0,0,0.6,claude,claude-haiku-4-5,46.3,0.033377,4.55815,
145,2026-08-18T03:30:29Z,225,34,14,25,23,5,0,0,0.775,claude,claude-haiku-4-5,51.7,0.033234,4.591384,
146,2026-08-18T03:31:20Z,264,46,30,23,30,5,0,0,0.9031,claude,claude-haiku-4-5,45.2,0.034273,4.625657,
147,2026-08-18T03:32:15Z,323,47,15,27,46,5,0,0,0.95,claude,claude-haiku-4-5,54.3,0.041243,4.6669,
148,2026-08-18T03:33:03Z,346,52,52,23,42,5,0,0,0.9031,claude,claude-haiku-4-5,46.3,0.030335,4.697235,
149,2026-08-18T03:33:59Z,331,40,73,18,60,5,0,0,0.775,claude,claude-haiku-4-5,54.7,0.031151,4.728386,
150,2026-08-18T03:34:50Z,324,17,49,25,49,5,0,0,0.6,claude,claude-haiku-4-5,49.7,0.032504,4.76089,
151,2026-08-18T03:35:37Z,269,3,73,15,54,5,0,0,0.425,claude,claude-haiku-4-5,45.6,0.03237,4.79326,
152,2026-08-18T03:36:22Z,220,4,60,7,41,5,0,0,0.2969,claude,claude-haiku-4-5,44.0,0.031811,4.825071,
153,2026-08-18T03:37:16Z,176,3,54,7,29,5,0,0,0.25,claude,claude-haiku-4-5,52.4,0.031558,4.856629,
154,2026-08-18T03:38:22Z,156,7,30,3,19,5,0,0,0.2969,claude,claude-haiku-4-5,64.9,0.042736,4.899365,
155,2026-08-18T03:39:11Z,158,7,21,16,15,5,0,0,0.425,claude,claude-haiku-4-5,48.5,0.031739,4.931104,
156,2026-08-18T03:40:01Z,176,22,17,13,17,5,0,0,0.6,claude,claude-haiku-4-5,49.0,0.033387,4.964491,
157,2026-08-18T03:40:52Z,209,34,22,21,19,5,0,0,0.775,claude,claude-haiku-4-5,48.9,0.033254,4.997745,
158,2026-08-18T03:41:42Z,268,56,16,19,30,5,0,0,0.9031,claude,claude-haiku-4-5,49.5,0.034277,5.032022,
159,2026-08-18T03:42:34Z,319,56,31,26,37,5,0,0,0.95,claude,claude-haiku-4-5,50.0,0.03517,5.067192,
160,2026-08-18T03:43:20Z,347,40,39,27,37,5,0,0,0.9031,claude,claude-haiku-4-5,45.6,0.030049,5.097241,fragment_accumulator
161,2026-08-18T03:44:19Z,347,34,57,23,70,5,0,0,0.775,claude,claude-haiku-4-5,57.6,0.041369,5.13861,
162,2026-08-18T03:45:10Z,304,8,68,17,58,5,0,0,0.6,claude,claude-haiku-4-5,49.9,0.03341,5.17202,
163,2026-08-18T03:45:59Z,261,4,54,7,60,5,0,0,0.425,claude,claude-haiku-4-5,47.6,0.032454,5.204474,
164,2026-08-18T03:46:49Z,202,2,66,5,38,5,1,0,0.2969,claude,claude-haiku-4-5,48.3,0.031745,5.236219,
165,2026-08-18T03:47:35Z,166,1,40,3,18,5,0,0,0.25,claude,claude-haiku-4-5,45.6,0.031544,5.267763,
166,2026-08-18T03:48:20Z,146,5,29,4,14,5,0,0,0.2969,claude,claude-haiku-4-5,43.7,0.031809,5.299572,
167,2026-08-18T03:49:06Z,146,3,13,10,15,5,0,0,0.425,claude,claude-haiku-4-5,44.4,0.032485,5.332057,
168,2026-08-18T03:50:11Z,160,21,15,8,12,5,0,0,0.6,claude,claude-haiku-4-5,63.6,0.043519,5.375576,
169,2026-08-18T03:51:02Z,206,33,8,21,21,5,0,0,0.775,claude,claude-haiku-4-5,49.9,0.033214,5.40879,
170,2026-08-18T03:51:47Z,265,57,16,18,16,5,0,0,0.9031,claude,claude-haiku-4-5,43.7,0.033517,5.442307,
171,2026-08-18T03:52:39Z,342,66,26,37,40,5,0,0,0.95,claude,claude-haiku-4-5,50.6,0.031734,5.474041,
172,2026-08-18T03:53:23Z,365,27,33,29,35,5,0,0,0.9031,claude,claude-haiku-4-5,43.5,0.030238,5.504279,
173,2026-08-18T03:54:24Z,333,23,69,14,77,5,0,0,0.775,claude,claude-haiku-4-5,59.0,0.032034,5.536313,
174,2026-08-18T03:55:10Z,289,19,84,21,48,5,0,0,0.6,claude,claude-haiku-4-5,44.9,0.033301,5.569614,
175,2026-08-18T03:56:09Z,246,5,65,17,34,5,0,0,0.425,claude,claude-haiku-4-5,57.8,0.042686,5.6123,
176,2026-08-18T03:56:54Z,205,1,50,8,42,5,0,0,0.2969,claude,claude-haiku-4-5,44.0,0.031791,5.644091,
177,2026-08-18T03:57:38Z,165,3,49,6,30,5,0,0,0.25,claude,claude-haiku-4-5,43.4,0.031536,5.675627,
178,2026-08-18T03:58:24Z,156,3,21,9,20,5,0,0,0.2969,claude,claude-haiku-4-5,44.2,0.031486,5.707113,
179,2026-08-18T03:59:11Z,153,9,21,9,15,5,0,0,0.425,claude,claude-haiku-4-5,45.9,0.032483,5.739596,
180,2026-08-18T04:00:01Z,168,21,15,9,17,5,0,0,0.6,claude,claude-haiku-4-5,49.1,0.032743,5.772339,
181,2026-08-18T04:20:48Z,196,41,29,16,18,5,0,0,0.775,claude,claude-haiku-4-5,51.8,0.032194,5.804533,
182,2026-08-18T04:21:45Z,267,51,15,35,14,5,1,0,0.9031,claude,claude-haiku-4-5,54.9,0.04341,5.847943,
183,2026-08-18T04:22:35Z,326,47,17,29,30,5,0,0,0.95,claude,claude-haiku-4-5,45.2,0.033304,5.881247,
184,2026-08-18T04:23:23Z,352,43,42,25,59,5,0,0,0.9031,claude,claude-haiku-4-5,44.2,0.029992,5.911239,
185,2026-08-18T04:24:13Z,332,32,71,19,57,5,0,0,0.775,claude,claude-haiku-4-5,48.1,0.030877,5.942116,
186,2026-08-18T04:25:05Z,306,16,60,18,47,5,0,0,0.6,claude,claude-haiku-4-5,50.8,0.030136,5.972252,
187,2026-08-18T04:25:53Z,262,4,54,6,57,5,0,0,0.425,claude,claude-haiku-4-5,46.8,0.025146,5.997398,
188,2026-08-18T04:26:36Z,200,1,70,7,41,5,0,0,0.2969,claude,claude-haiku-4-5,41.4,0.024883,6.022281,
189,2026-08-18T04:27:34Z,173,0,34,7,23,5,0,0,0.25,claude,claude-haiku-4-5,56.3,0.035923,6.058204,
190,2026-08-18T04:28:21Z,149,3,33,6,17,5,1,0,0.2969,claude,claude-haiku-4-5,46.4,0.026675,6.084879,
191,2026-08-18T04:29:14Z,147,6,19,11,17,5,1,0,0.425,claude,claude-haiku-4-5,51.4,0.030251,6.11513,
192,2026-08-18T04:30:09Z,158,16,16,11,10,5,0,0,0.6,claude,claude-haiku-4-5,53.6,0.031372,6.146502,
193,2026-08-18T04:31:05Z,203,42,16,19,17,5,0,0,0.775,claude,claude-haiku-4-5,55.1,0.031156,6.177658,
194,2026-08-18T04:32:02Z,261,44,16,30,22,5,0,0,0.9031,claude,claude-haiku-4-5,56.2,0.03324,6.210898,
195,2026-08-18T04:32:53Z,311,51,20,19,35,5,0,0,0.95,claude,claude-haiku-4-5,50.0,0.031641,6.242539,
196,2026-08-18T04:35:49Z,334,42,40,21,51,5,0,0,0.9031,claude,claude-haiku-4-5,64.9,0.042094,6.284633,
197,2026-08-18T04:36:50Z,339,29,49,25,37,5,0,0,0.775,claude,claude-haiku-4-5,57.3,0.030166,6.314799,
198,2026-08-18T04:37:49Z,316,16,55,16,56,5,0,0,0.6,claude,claude-haiku-4-5,56.7,0.030373,6.345172,
199,2026-08-18T04:38:43Z,268,4,67,15,48,5,0,0,0.425,claude,claude-haiku-4-5,53.1,0.031179,6.376351,
200,2026-08-18T04:39:29Z,207,2,72,9,42,5,0,0,0.2969,claude,claude-haiku-4-5,44.9,0.028103,6.404454,
201,2026-08-18T04:40:20Z,188,3,28,6,27,5,0,0,0.25,claude,claude-haiku-4-5,49.1,0.028943,6.433397,
202,2026-08-18T04:41:09Z,155,3,43,7,18,5,0,0,0.2969,claude,claude-haiku-4-5,48.1,0.029119,6.462516,
203,2026-08-18T04:42:14Z,145,7,25,8,17,5,0,0,0.425,claude,claude-haiku-4-5,64.5,0.04303,6.505546,
204,2026-08-18T04:43:10Z,166,25,13,9,17,5,0,0,0.6,claude,claude-haiku-4-5,54.3,0.030834,6.53638,
205,2026-08-18T04:44:47Z,219,43,12,22,12,5,0,0,0.775,claude,claude-haiku-4-5,96.0,0.032417,6.568797,
206,2026-08-18T04:45:44Z,279,42,24,42,26,5,0,0,0.9031,claude,claude-haiku-4-5,55.4,0.030949,6.599746,
