shift,end_timestamp,living,arose_this_shift,ended_this_shift,replicated_this_shift,links_formed,classified,anomalous,unresolved,resource_flow,phase,model,duration_seconds,estimated_cost_usd,cumulative_cost_usd,new_categories
30,2026-08-18T18:03:58Z,365,27,74,21,72,5,0,0,0.6,claude,claude-haiku-4-5,65.4,0.03106,0.842164,
31,2026-08-18T18:05:02Z,312,17,88,18,63,5,0,0,0.425,claude,claude-haiku-4-5,60.6,0.030926,0.87309,
32,2026-08-18T18:06:13Z,264,6,69,15,44,5,0,0,0.2969,claude,claude-haiku-4-5,67.7,0.030073,0.903163,
33,2026-08-18T18:07:21Z,222,5,55,8,33,5,0,0,0.25,claude,claude-haiku-4-5,64.3,0.030194,0.933357,
34,2026-08-18T18:08:36Z,215,9,25,9,30,5,0,0,0.2969,claude,claude-haiku-4-5,72.5,0.029871,0.963228,
35,2026-08-18T18:10:02Z,216,14,24,11,19,5,0,0,0.425,claude,claude-haiku-4-5,82.5,0.042207,1.005435,
36,2026-08-18T18:11:13Z,290,67,20,27,21,5,0,0,0.6,claude,claude-haiku-4-5,67.0,0.031655,1.03709,
37,2026-08-18T18:12:21Z,420,84,13,59,16,5,0,0,0.775,claude,claude-haiku-4-5,64.4,0.030038,1.067128,
38,2026-08-18T18:13:23Z,538,97,31,52,44,5,0,0,0.9031,claude,claude-haiku-4-5,58.7,0.030652,1.09778,
39,2026-08-18T18:14:27Z,635,95,55,57,93,5,0,0,0.95,claude,claude-haiku-4-5,60.8,0.029224,1.127004,
40,2026-08-18T19:26:21Z,713,114,74,38,97,5,0,0,0.9031,claude,claude-haiku-4-5,63.8,0.032022,1.159026,
41,2026-08-18T19:27:54Z,769,109,109,56,128,4,0,0,0.775,claude,claude-haiku-4-5,68.0,0.029535,1.188561,
42,2026-08-18T19:29:21Z,759,59,124,55,116,5,0,0,0.6,claude,claude-haiku-4-5,77.8,0.041134,1.229695,
43,2026-08-18T19:30:46Z,656,18,153,32,129,5,0,0,0.425,claude,claude-haiku-4-5,70.6,0.030287,1.259982,
44,2026-08-18T19:32:02Z,548,14,137,15,120,5,0,0,0.2969,claude,claude-haiku-4-5,68.5,0.030063,1.290045,
45,2026-08-18T19:33:09Z,455,13,124,18,79,5,0,0,0.25,claude,claude-haiku-4-5,58.5,0.029822,1.319867,
46,2026-08-18T19:34:14Z,397,11,88,19,49,5,0,0,0.2969,claude,claude-haiku-4-5,57.2,0.030046,1.349913,
47,2026-08-18T19:35:29Z,391,21,51,24,49,5,0,0,0.425,claude,claude-haiku-4-5,67.6,0.030239,1.380152,
48,2026-08-18T19:36:39Z,577,178,36,44,41,5,0,0,0.6,claude,claude-haiku-4-5,61.5,0.02985,1.410002,
49,2026-08-18T19:38:04Z,815,138,41,141,34,5,0,0,0.775,claude,claude-haiku-4-5,77.7,0.042405,1.452407,
50,2026-08-18T19:39:13Z,1003,130,46,104,92,5,0,0,0.9031,claude,claude-haiku-4-5,60.2,0.029203,1.48161,
51,2026-08-18T19:40:22Z,1173,215,116,71,174,5,0,0,0.95,claude,claude-haiku-4-5,60.4,0.030774,1.512384,
52,2026-08-18T19:41:32Z,1251,171,183,90,179,5,0,0,0.9031,claude,claude-haiku-4-5,61.0,0.032048,1.544432,
53,2026-08-18T19:42:52Z,1291,147,193,86,199,5,0,0,0.775,claude,claude-haiku-4-5,71.8,0.030533,1.574965,
54,2026-08-18T19:44:14Z,1225,81,223,76,246,5,0,0,0.6,claude,claude-haiku-4-5,72.1,0.030851,1.605816,
55,2026-08-18T19:45:32Z,1122,43,206,60,199,5,0,0,0.425,claude,claude-haiku-4-5,68.3,0.030445,1.636261,
56,2026-08-18T19:46:49Z,937,27,253,41,168,5,0,0,0.2969,claude,claude-haiku-4-5,68.7,0.03952,1.675781,
57,2026-08-18T19:48:08Z,764,15,215,27,134,5,0,0,0.25,claude,claude-haiku-4-5,69.9,0.030378,1.706159,
58,2026-08-18T19:49:19Z,665,25,154,30,92,5,0,0,0.2969,claude,claude-haiku-4-5,61.9,0.030251,1.73641,
59,2026-08-18T19:50:38Z,727,73,64,53,69,5,0,0,0.425,claude,claude-haiku-4-5,71.3,0.029931,1.766341,
60,2026-08-18T19:51:49Z,989,223,58,97,81,5,0,0,0.6,claude,claude-haiku-4-5,62.4,0.030781,1.797122,
61,2026-08-18T19:53:05Z,1359,252,67,185,77,5,0,0,0.775,claude,claude-haiku-4-5,66.3,0.032257,1.829379,
62,2026-08-18T19:54:13Z,1628,191,98,176,168,5,0,0,0.9031,claude,claude-haiku-4-5,59.6,0.029193,1.858572,
63,2026-08-18T19:55:37Z,1982,411,172,115,284,5,0,0,0.95,claude,claude-haiku-4-5,74.4,0.04138,1.899952,
64,2026-08-18T19:56:48Z,2238,387,305,174,318,5,0,0,0.9031,claude,claude-haiku-4-5,61.8,0.030195,1.930147,passive_accumulator
65,2026-08-18T19:58:14Z,2239,213,374,162,395,5,0,0,0.775,claude,claude-haiku-4-5,74.7,0.033206,1.963353,
66,2026-08-18T19:59:47Z,2019,127,454,107,476,5,0,0,0.6,claude,claude-haiku-4-5,81.1,0.030595,1.993948,
67,2026-08-18T20:01:16Z,1703,71,488,101,394,5,0,0,0.425,claude,claude-haiku-4-5,76.8,0.029848,2.023796,
68,2026-08-18T20:02:35Z,1421,42,401,77,235,5,0,0,0.2969,claude,claude-haiku-4-5,66.9,0.030492,2.054288,
69,2026-08-18T20:03:58Z,1266,48,263,60,196,5,0,0,0.25,claude,claude-haiku-4-5,71.2,0.030419,2.084707,
70,2026-08-18T20:05:26Z,1191,40,188,73,163,5,0,0,0.2969,claude,claude-haiku-4-5,77.9,0.042002,2.126709,
71,2026-08-18T20:06:48Z,1194,95,160,68,138,5,0,0,0.425,claude,claude-haiku-4-5,71.0,0.030361,2.15707,
72,2026-08-18T20:08:06Z,1380,245,161,102,129,5,0,0,0.6,claude,claude-haiku-4-5,68.2,0.030914,2.187984,
73,2026-08-18T20:09:19Z,1709,255,124,198,132,5,1,0,0.775,claude,claude-haiku-4-5,61.6,0.02655,2.214534,
74,2026-08-18T20:10:37Z,2098,329,172,232,221,5,0,0,0.9031,claude,claude-haiku-4-5,64.5,0.034195,2.248729,
75,2026-08-18T20:11:53Z,2583,457,206,234,320,5,1,0,0.95,claude,claude-haiku-4-5,63.9,0.029342,2.278071,
76,2026-08-18T20:13:13Z,3011,552,347,223,395,5,0,0,0.9031,claude,claude-haiku-4-5,68.0,0.033724,2.311795,
77,2026-08-18T20:14:58Z,3058,281,485,251,531,5,0,0,0.775,claude,claude-haiku-4-5,90.5,0.041729,2.353524,
78,2026-08-18T20:16:23Z,2754,142,580,134,635,5,0,0,0.6,claude,claude-haiku-4-5,70.7,0.030756,2.38428,
79,2026-08-18T20:17:49Z,2204,76,712,86,531,5,0,0,0.425,claude,claude-haiku-4-5,72.0,0.030336,2.414616,
80,2026-08-18T20:19:09Z,1750,41,575,80,315,5,0,0,0.2969,claude,claude-haiku-4-5,66.9,0.030307,2.444923,
81,2026-08-18T20:20:22Z,1523,45,338,66,230,5,0,0,0.25,claude,claude-haiku-4-5,60.3,0.030692,2.475615,
82,2026-08-18T20:21:34Z,1422,61,232,70,190,5,0,0,0.2969,claude,claude-haiku-4-5,60.6,0.030948,2.506563,
83,2026-08-18T20:22:56Z,1486,126,165,103,164,5,1,0,0.425,claude,claude-haiku-4-5,70.2,0.031303,2.537866,
84,2026-08-18T20:24:27Z,1797,366,179,124,158,5,0,0,0.6,claude,claude-haiku-4-5,78.0,0.042213,2.580079,
85,2026-08-18T20:25:45Z,2334,405,159,291,181,5,0,0,0.775,claude,claude-haiku-4-5,65.6,0.033686,2.613765,
86,2026-08-18T20:27:03Z,2855,396,184,309,304,5,0,0,0.9031,claude,claude-haiku-4-5,64.1,0.032203,2.645968,
87,2026-08-18T20:28:30Z,3547,721,303,274,441,5,1,0,0.95,claude,claude-haiku-4-5,71.5,0.034713,2.680681,
88,2026-08-18T20:30:02Z,3933,597,530,319,533,5,0,0,0.9031,claude,claude-haiku-4-5,77.5,0.031106,2.711787,
89,2026-08-18T20:31:36Z,3806,254,646,265,751,5,1,0,0.775,claude,claude-haiku-4-5,76.5,0.031513,2.7433,
90,2026-08-18T20:33:09Z,3382,230,804,150,777,5,0,0,0.6,claude,claude-haiku-4-5,77.1,0.032743,2.776043,
91,2026-08-18T20:35:06Z,2779,110,866,153,567,5,0,0,0.425,claude,claude-haiku-4-5,100.2,0.043155,2.819198,
92,2026-08-18T20:36:33Z,2343,60,612,116,412,5,0,0,0.2969,claude,claude-haiku-4-5,72.9,0.03077,2.849968,
93,2026-08-18T20:37:56Z,2016,36,433,70,363,5,0,0,0.25,claude,claude-haiku-4-5,66.7,0.030591,2.880559,
94,2026-08-18T20:39:19Z,1867,70,309,90,276,5,0,0,0.2969,claude,claude-haiku-4-5,68.4,0.030234,2.910793,
95,2026-08-18T20:40:50Z,1866,179,278,98,219,5,0,0,0.425,claude,claude-haiku-4-5,77.0,0.030919,2.941712,
96,2026-08-18T20:42:15Z,2434,580,214,202,190,5,1,0,0.6,claude,claude-haiku-4-5,71.3,0.030557,2.972269,
97,2026-08-18T20:43:48Z,3187,480,163,436,220,5,0,0,0.775,claude,claude-haiku-4-5,77.7,0.033668,3.005937,
98,2026-08-18T20:45:29Z,3887,617,271,354,481,5,1,0,0.9031,claude,claude-haiku-4-5,83.8,0.039542,3.045479,emerging_mobile_residue_specialist
99,2026-08-18T20:47:09Z,4630,857,466,352,671,5,0,0,0.95,claude,claude-haiku-4-5,80.7,0.032771,3.07825,
100,2026-08-18T20:49:04Z,4906,614,708,370,728,5,0,0,0.9031,claude,claude-haiku-4-5,86.3,0.031122,3.109372,
101,2026-08-18T20:51:10Z,4775,455,889,303,950,5,0,0,0.775,claude,claude-haiku-4-5,98.7,0.03033,3.139702,
102,2026-08-18T20:53:05Z,4266,259,1007,239,925,5,0,0,0.6,claude,claude-haiku-4-5,92.7,0.031094,3.170796,
103,2026-08-18T20:55:34Z,3593,139,993,181,788,5,1,0,0.425,claude,claude-haiku-4-5,105.6,0.030795,3.201591,
104,2026-08-18T20:57:15Z,2871,69,918,127,590,5,0,0,0.2969,claude,claude-haiku-4-5,81.6,0.030883,3.232474,
105,2026-08-18T20:59:06Z,2496,69,554,110,446,5,0,0,0.25,claude,claude-haiku-4-5,93.5,0.042334,3.274808,
106,2026-08-18T21:01:04Z,2317,107,406,120,348,5,0,0,0.2969,claude,claude-haiku-4-5,88.8,0.030668,3.305476,
107,2026-08-18T21:03:09Z,2344,183,295,139,253,5,0,0,0.425,claude,claude-haiku-4-5,94.6,0.030949,3.336425,
108,2026-08-18T21:05:07Z,2882,589,240,189,266,5,0,0,0.6,claude,claude-haiku-4-5,88.0,0.030417,3.366842,
109,2026-08-18T21:07:06Z,3770,646,230,472,285,5,0,0,0.775,claude,claude-haiku-4-5,88.1,0.032242,3.399084,
110,2026-08-18T21:09:02Z,4801,698,293,626,413,5,0,0,0.9031,claude,claude-haiku-4-5,82.7,0.029731,3.428815,
111,2026-08-18T21:11:36Z,5866,787,384,662,719,5,0,0,0.95,claude,claude-haiku-4-5,112.1,0.03463,3.463445,
112,2026-08-18T21:15:05Z,6418,619,694,627,926,5,0,0,0.9031,claude,claude-haiku-4-5,156.3,0.045339,3.508784,resource_donor resource_donor
113,2026-08-18T21:18:44Z,6319,409,1072,564,1152,5,0,0,0.775,claude,claude-haiku-4-5,157.5,0.030409,3.539193,
114,2026-08-18T21:22:09Z,5656,158,1221,400,1131,5,0,0,0.6,claude,claude-haiku-4-5,152.2,0.031076,3.570269,
115,2026-08-18T21:25:06Z,4714,83,1290,265,965,5,0,0,0.425,claude,claude-haiku-4-5,131.4,0.030412,3.600681,
116,2026-08-18T21:27:17Z,3888,40,1053,187,700,5,1,0,0.2969,claude,claude-haiku-4-5,95.1,0.030642,3.631323,
117,2026-08-18T21:29:13Z,3249,37,807,131,508,5,0,0,0.25,claude,claude-haiku-4-5,83.7,0.030462,3.661785,
118,2026-08-18T21:31:05Z,2951,43,503,162,415,5,0,0,0.2969,claude,claude-haiku-4-5,83.0,0.030974,3.692759,
119,2026-08-18T21:33:12Z,2956,146,319,178,353,5,0,0,0.425,claude,claude-haiku-4-5,97.6,0.039957,3.732716,
119,2026-08-18T21:33:47Z,2956,146,319,178,353,5,0,0,0.425,claude,claude-haiku-4-5,99.4,0.040562,3.733321,
120,2026-08-18T21:35:05Z,3549,603,271,261,271,5,0,0,0.6,claude,claude-haiku-4-5,83.1,0.031379,3.764095,
120,2026-08-18T21:35:47Z,3549,603,271,261,271,5,0,0,0.6,claude,claude-haiku-4-5,89.8,0.031176,3.764497,
121,2026-08-18T21:37:24Z,4680,733,250,648,287,5,0,0,0.775,claude,claude-haiku-4-5,74.2,0.031572,3.796069,
122,2026-08-18T21:39:14Z,5925,721,281,805,473,5,1,0,0.9031,claude,claude-haiku-4-5,86.0,0.0345,3.830569,
123,2026-08-18T21:41:08Z,7138,806,447,854,797,5,0,0,0.95,claude,claude-haiku-4-5,85.8,0.029598,3.860167,
124,2026-08-18T21:43:25Z,7697,619,857,797,1092,5,0,0,0.9031,claude,claude-haiku-4-5,103.6,0.032712,3.892879,
125,2026-08-18T21:45:59Z,7461,392,1268,640,1378,5,0,0,0.775,claude,claude-haiku-4-5,119.0,0.031619,3.924498,
126,2026-08-18T21:48:45Z,6702,184,1414,471,1295,5,0,0,0.6,claude,claude-haiku-4-5,131.2,0.042518,3.967016,
127,2026-08-18T21:50:51Z,5580,81,1506,303,1162,5,0,0,0.425,claude,claude-haiku-4-5,95.4,0.031172,3.998188,
128,2026-08-18T21:52:28Z,4597,40,1251,228,846,1,0,0,0.2969,claude,claude-haiku-4-5,70.5,0.019874,4.018062,
129,2026-08-18T21:54:06Z,3903,39,875,142,650,5,0,0,0.25,claude,claude-haiku-4-5,74.5,0.030576,4.048638,
130,2026-08-18T21:55:44Z,3549,55,589,180,511,5,0,0,0.2969,claude,claude-haiku-4-5,76.8,0.030788,4.079426,
131,2026-08-18T21:57:11Z,3476,135,423,215,373,5,0,0,0.425,claude,claude-haiku-4-5,66.2,0.031047,4.110473,
132,2026-08-18T21:58:46Z,4078,621,311,292,316,5,0,0,0.6,claude,claude-haiku-4-5,74.6,0.031488,4.141961,
133,2026-08-18T22:00:44Z,5488,943,284,751,313,5,0,0,0.775,claude,claude-haiku-4-5,96.2,0.045214,4.187175,
134,2026-08-18T22:02:36Z,7030,761,268,1049,512,5,1,0,0.9031,claude,claude-haiku-4-5,86.4,0.029484,4.216659,
135,2026-08-18T22:04:41Z,8434,855,520,1069,968,5,0,0,0.95,claude,claude-haiku-4-5,93.0,0.0346,4.251259,
136,2026-08-18T22:07:09Z,9076,652,938,928,1312,5,0,0,0.9031,claude,claude-haiku-4-5,111.5,0.03246,4.283719,
137,2026-08-18T22:10:01Z,8870,432,1421,783,1648,5,2,0,0.775,claude,claude-haiku-4-5,130.6,0.031628,4.315347,
138,2026-08-18T22:12:55Z,7831,195,1805,571,1492,5,1,0,0.6,claude,claude-haiku-4-5,134.6,0.030437,4.345784,
139,2026-08-18T22:15:17Z,6611,90,1727,417,1298,5,0,0,0.425,claude,claude-haiku-4-5,104.9,0.031368,4.377152,
140,2026-08-18T22:17:40Z,5470,61,1472,270,1063,5,0,0,0.2969,claude,claude-haiku-4-5,113.5,0.040337,4.417489,
141,2026-08-18T22:19:41Z,4655,44,1049,190,771,5,0,0,0.25,claude,claude-haiku-4-5,93.7,0.030577,4.448066,
142,2026-08-18T22:21:29Z,4229,62,732,244,630,5,0,0,0.2969,claude,claude-haiku-4-5,83.9,0.031044,4.47911,
143,2026-08-18T22:23:05Z,4094,150,553,268,479,5,1,0,0.425,claude,claude-haiku-4-5,72.2,0.031261,4.510371,
144,2026-08-18T22:24:54Z,4743,721,420,348,400,5,1,0,0.6,claude,claude-haiku-4-5,85.8,0.031835,4.542206,
145,2026-08-18T22:26:45Z,6152,969,346,786,380,5,0,0,0.775,claude,claude-haiku-4-5,87.1,0.032527,4.574733,
146,2026-08-18T22:28:47Z,7977,971,353,1207,634,5,0,0,0.9031,claude,claude-haiku-4-5,92.8,0.030729,4.605462,
147,2026-08-18T22:31:33Z,9859,1195,556,1243,1033,5,0,0,0.95,claude,claude-haiku-4-5,127.6,0.044915,4.650377,
148,2026-08-18T22:34:37Z,10796,931,1131,1137,1516,5,0,0,0.9031,claude,claude-haiku-4-5,134.6,0.032587,4.682964,
149,2026-08-18T22:38:13Z,10589,520,1677,950,1974,5,0,0,0.775,claude,claude-haiku-4-5,158.5,0.031517,4.714481,
